,Question,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
229,How do you handle missing data in a dataset?,1.0,0.5,0.95,0.1,0.95,0.2,1.0,0.2,0.9,0.1
230,Explain the curse of dimensionality.,1.0,0.2,0.95,0.2,1.0,0.2,0.95,0.1,0.2,0.3
231,What is regularization in machine learning?,1.0,0.2,0.95,0.3,1.0,0.3,0.2,0.95,0.4,0.2
232,What is the purpose of cross-validation?,1.0,0.2,0.95,0.2,1.0,0.3,0.4,0.95,0.3,0.2
233,What are some common algorithms used in supervised learning?,1.0,0.2,0.95,0.1,1.0,0.2,0.1,0.2,0.95,0.3
234,What is the difference between classification and regression?,1.0,0.2,0.95,0.3,1.0,0.2,0.2,0.3,1.0,0.1
235,How does regularization prevent overfitting in neural networks?,1.0,0.95,0.2,0.3,1.0,0.3,0.2,0.95,0.3,0.2
236,What is the purpose of activation functions in neural networks?,1.0,0.9,1.0,0.2,0.3,0.95,0.3,0.9,0.4,0.3
237,What is the ROC curve?,1.0,0.95,0.5,0.2,1.0,0.4,0.2,0.1,0.1,0.1
238,What is the F1 score?,1.0,0.3,0.95,0.2,1.0,0.3,0.3,0.1,0.9,0.2
239,What is the purpose of dimensionality reduction techniques?,1.0,0.2,0.95,0.2,1.0,0.3,0.2,0.95,0.2,0.9
240,Explain the difference between PCA and t-SNE.,1.0,0.3,0.6,0.2,1.0,0.2,0.3,1.0,0.9,0.2
241,What is K-means clustering?,1.0,0.95,0.2,0.1,1.0,0.2,0.9,0.3,0.3,0.2
242,What is the elbow method used for in K-means clustering?,1.0,0.3,0.4,0.2,1.0,0.2,0.1,0.2,0.3,0.1
243,What is outlier detection?,1.0,0.8,0.2,1.0,0.2,1.0,0.3,0.2,0.3,0.2
244,How does regularization prevent overfitting in neural networks?,1.0,0.95,1.0,1.0,0.95,0.9,0.3,1.0,1.0,0.2
245,What is the purpose of activation functions in neural networks?,1.0,0.7,0.3,1.0,0.2,1.0,0.6,1.0,0.2,0.3
246,What are the advantages of deep learning over traditional machine learning algorithms?,1.0,0.3,1.0,0.1,1.0,0.2,1.0,0.2,1.0,0.1
247,What is backpropagation?,1.0,1.0,0.2,0.2,1.0,1.0,0.1,1.0,0.1,0.3
248,What is transfer learning?,1.0,0.2,1.0,0.7,0.3,1.0,0.2,1.0,1.0,0.3
249,How do you evaluate the performance of a regression model?,1.0,0.2,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.3
250,What is the purpose of the A/B test in data science?,1.0,0.2,1.0,1.0,0.1,1.0,0.2,1.0,0.1,1.0
251,What is the Central Limit Theorem?,1.0,0.6,0.9,0.2,1.0,1.0,0.4,1.0,0.1,0.3
252,What is the difference between correlation and causation?,1.0,0.4,1.0,0.3,1.0,0.2,0.2,1.0,0.8,0.1
253,What is Bayesian inference?,1.0,0.2,1.0,0.3,1.0,0.2,0.2,1.0,0.1,1.0
254,What is the purpose of hypothesis testing?,1.0,0.2,1.0,0.3,1.0,0.4,0.9,0.1,1.0,0.1
255,What is regularization in linear regression?,1.0,0.3,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.1
256,What are the assumptions of linear regression?,1.0,0.2,1.0,0.4,1.0,1.0,0.1,1.0,0.2,0.1
257,What is the difference between Type I and Type II errors?,1.0,0.3,1.0,0.2,1.0,0.2,1.0,0.2,0.3,0.1
258,What is the p-value in hypothesis testing?,1.0,0.2,1.0,0.3,1.0,0.2,1.0,0.4,0.1,0.3
259,What is the bias-variance tradeoff?,1.0,1.0,0.2,0.3,1.0,0.4,0.2,0.1,1.0,0.3
260,What is the difference between bagging and boosting?,1.0,0.2,1.0,0.3,1.0,0.1,0.4,1.0,0.3,0.1
261,What is the purpose of cross-validation in model evaluation?,1.0,0.2,1.0,0.3,1.0,0.4,1.0,0.2,1.0,0.1
262,What is the difference between stratified sampling and random sampling?,1.0,0.6,1.0,0.3,1.0,0.2,0.1,0.3,1.0,0.2
263,What is ensemble learning?,1.0,0.2,1.0,0.3,1.0,0.3,1.0,0.2,1.0,0.1
264,What is the difference between variance and standard deviation?,1.0,0.3,1.0,0.2,0.2,0.3,0.1,0.5,0.1,0.3
265,What is the difference between a decision tree and a random forest?,1.0,0.2,1.0,0.3,1.0,0.2,1.0,1.0,0.3,0.2
266,What is the difference between batch gradient descent and stochastic gradient descent?,1.0,0.2,1.0,0.2,1.0,0.3,1.0,0.3,1.0,0.1
267,What is the role of activation functions in neural networks?,1.0,0.2,1.0,0.4,1.0,0.2,1.0,0.2,1.0,0.1
268,What is dropout regularization in neural networks?,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.3,1.0,0.1
269,What is batch normalization in neural networks?,1.0,0.2,1.0,0.2,1.0,0.2,0.9,0.3,1.0,0.4
270,What is the difference between L1 and L2 regularization?,1.0,0.2,1.0,0.2,1.0,1.0,0.5,0.3,1.0,0.2
271,What is the purpose of a confusion matrix in classification?,1.0,1.0,0.2,1.0,0.1,1.0,1.0,0.2,0.2,0.1
272,What is the softmax function?,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.3,1.0,0.1
273,What is the Kullback-Leibler (KL) divergence?,1.0,0.2,1.0,0.2,1.0,0.1,1.0,0.2,1.0,0.1
274,What is the difference between batch normalization and layer normalization in neural networks?,1.0,0.2,1.0,0.2,1.0,1.0,0.1,1.0,0.3,0.2
275,What is unsupervised learning?,1.0,0.1,1.0,0.1,1.0,0.2,1.0,0.2,1.0,0.3
276,What are the main types of unsupervised learning techniques?,1.0,0.1,1.0,0.1,1.0,0.1,1.0,1.0,0.1,1.0
277,What is clustering?,1.0,0.2,1.0,0.1,1.0,0.1,1.0,0.2,1.0,0.1
278,What are the common clustering algorithms?,1.0,0.1,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.1
279,What is K-means clustering?,1.0,0.2,1.0,0.1,1.0,0.2,1.0,0.3,1.0,0.2
280,What is hierarchical clustering?,1.0,0.1,1.0,0.3,1.0,0.2,1.0,0.1,1.0,0.1
281,What is DBSCAN clustering?,1.0,0.2,1.0,0.1,1.0,0.2,1.0,0.3,1.0,0.1
282,What is dimensionality reduction?,1.0,0.2,1.0,0.1,1.0,0.2,1.0,1.0,0.1,1.0
283,What are the common dimensionality reduction techniques?,1.0,0.2,1.0,0.2,1.0,1.0,1.0,0.1,1.0,0.2
284,What is PCA (Principal Component Analysis)?,1.0,0.2,1.0,0.1,1.0,0.2,1.0,1.0,0.1,1.0
285,What is t-SNE (t-Distributed Stochastic Neighbor Embedding)?,1.0,0.2,1.0,0.2,1.0,1.0,0.1,1.0,0.2,1.0
286,What is Singular Value Decomposition (SVD)?,1.0,0.2,1.0,0.2,1.0,0.1,1.0,0.3,1.0,0.1
287,What is association rule learning?,1.0,0.2,1.0,0.2,1.0,0.1,1.0,1.0,0.2,1.0
288,What are the common association rule learning algorithms?,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.1,1.0,0.1
289,What is the Apriori algorithm?,1.0,0.1,1.0,0.2,1.0,0.2,1.0,1.0,0.1,1.0
290,What is FP-Growth?,1.0,0.2,1.0,0.2,1.0,0.1,1.0,1.0,0.1,0.2
291,What is anomaly detection?,1.0,0.1,1.0,0.2,1.0,0.2,1.0,0.3,1.0,0.1
292,What are the common anomaly detection techniques?,1.0,0.2,1.0,0.5,1.0,1.0,0.2,1.0,0.2,1.0
293,What is Isolation Forest?,1.0,1.0,0.3,0.4,1.0,0.2,1.0,1.0,0.2,0.3
294,What is One-Class SVM?,1.0,0.9,0.2,1.0,1.0,0.2,1.0,0.4,0.9,1.0
295,What is the purpose of density estimation?,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.1
296,What are the common density estimation techniques?,1.0,0.2,1.0,0.3,1.0,0.2,1.0,0.2,1.0,0.1
297,What is the Gaussian Mixture Model (GMM)?,1.0,1.0,1.0,0.2,1.0,0.3,1.0,0.2,1.0,0.4
298,What is the Expectation-Maximization (EM) algorithm?,1.0,1.0,1.0,0.3,1.0,0.1,1.0,0.2,0.3,1.0
299,What is the difference between generative and discriminative models?,1.0,0.2,1.0,1.0,0.2,0.4,0.3,1.0,0.2,0.3
300,What is the purpose of generative modeling?,1.0,0.4,1.0,1.0,0.2,1.0,0.2,1.0,0.3,0.2
